iter	Passed	Remaining
553	50661	40785
554	50741	40684
555	50838	40598
556	50972	40539
557	51195	40553
558	51339	40502
559	51388	40376
560	51426	40242
561	51460	40105
562	51492	39968
563	51530	39835
564	51565	39700
565	51606	39570
566	5566	51695	39478
567	51819	39412
568	51927	39333
569	52017	39241
570	52055	39110
571	52088	3572	5572	52138	3573	5573	52265	3574	5574	52386	3575	5575	52480	3576	5576	52531	3577	52672	38456
578	52812	38400
579	52926	38326
580	53056	38262
581	53104	38140
582	53140	38009
583	53175	37878
584	5584	53220	3585	5585	53320	37669
586	53366	37547
587	53487	37477
588	53566	37378
589	53611	37255
590	53656	37132
591	53692	37004
592	53725	36873
593	53765	36748
59593	54027	369259594	54120	368359595	54269	36786
596	54411	36729
597	54549	36670
598	54672	36600
599	54778	36519
600	54886	36439
601	55020	36375
602	55143	36305
603	55192	36185
604	55230	36059
605	55270	35935
606	55477	35918
607	55749	35944
608	55903	35892
609	56020	35816
610	56206	35784
611	56388	35749
612	56571	35714
613	56676	35630
614	56797	35556
615	56962	35509
616	57121	35457
617	57261	35394
618	57368	35310
619	57506	35245
620	57641	35178
621	57793	35122
622	57924	35052
623	58094	35005
624	58220	34932
625	58357	34865
626	58389	34735
627	58424	34608
628	58488	34498
629	58667	34455
630	58817	34395
631	58983	34345
632	59132	34283
633	59304	34235
634	59437	34164
635	59550	34082
636	59637	33985
637	59756	33905
638	59864	33819
639	59970	33733
640	60082	33649
641	60200	33570
642	60307	33483
643	60416	33398
644	60525	33312
645	60638	33229
646	60754	33147
647	60884	33073
648	61022	33002
649	61150	32927
650	61273	32848
651	61375	32758
652	61492	32676
653	61590	32584
654	61711	32504
655	61780	32397
656	61879	32305
657	61933	32190
658	61986	32074
659	62063	31972
660	62152	31875
661	62249	31783
662	62339	31686
663	62418	31585
664	62517	31493
665	62610	31399
666	62646	31276
667	62669	31147
668	62726	31034
669	62787	30925
670	62844	30813
671	62904	30703
672	62953	30588
673	63005	30474
674	63049	30357
675	63093	30240
676	63133	30121
677	63161	29997
678	63196	29876
679	63275	29776
680	63309	29655
681	63334	29531
682	63361	29407
683	63386	29283
684	63409	29159
685	63435	29035
686	63459	28912
687	63488	28791
688	63515	28669
689	63542	28547
690	63604	28442
691	63765	28381
692	63937	28324
693	64247	28328
694	64397	28260
695	64451	28151
696	64502	28040
697	64541	27924
698	64575	27807
699	64612	27690
700	64645	27573
701	64673	27453
702	64707	27337
703	64734	27217
704	64762	27099
705	64796	26983
706	64852	26876
707	64921	26775
708	65038	26694
709	65153	26611
710	65396	26581
711	65523	26503
712	65647	26424
713	65783	26350
714	65893	26265
715	66023	26188
716	66171	26117
717	66298	26039
718	66463	25975
